crop,mean,std,min,max,count
Coconut ,4042.47,5187.28,0.01,38800.0,1957
Sugarcane,195.33,3147.27,0.0,88000.0,7814
Papaya,33.6,37.07,0.16,134.14,412
Banana,27.32,18.27,0.29,138.42,3104
Cabbage,25.07,18.68,0.84,67.21,97
Grapes,22.55,7.13,0.2,42.93,110
Tapioca,18.79,14.41,0.33,70.52,1583
Pineapple,14.0,5.87,0.86,32.1,247
Potato,12.87,7.81,0.03,213.85,6910
Pome Granet,12.47,2.05,9.57,16.36,21
Onion,11.86,26.77,0.03,2150.0,6979
Tomato,10.47,6.51,1.15,50.21,275
Brinjal,10.47,5.68,0.19,29.98,267
Sapota,10.27,2.54,7.6,19.88,39
Cashewnut,9.7,300.31,0.03,9801.0,1065
Orange,9.68,4.61,1.33,20.11,237
Colocosia,9.51,0.01,9.5,9.52,11
Jute,9.46,4.49,0.27,22.76,1408
Sweet potato,8.87,4.93,0.05,38.12,4111
Ginger,8.57,2.18,0.9,20.0,241
